##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
chomp	pos: verb 1. To bite and grind with the teeth: champ, chew, chump, crump, crunch, masticate, munch.  chaw. 2. To seize, as food, with the teeth: bite, champ, gnash, gnaw. 
choose	pos: verb 1. To make a choice from a number of alternatives: cull, elect, opt (for), pick (out), select, single (out). 2. To have the desire or inclination to: desire, like, please, want, will, wish.  have a mind, see fit. 
choosy	pos: adjective Very difficult to please: dainty, exacting, fastidious, finical, finicky, fussy, meticulous, nice, particular, persnickety, squeamish.  picky. 
chop	pos: noun A quick, sharp blow, especially with the hand: box, buffet, bust, cuff, punch, slap, smack, smacker, spank, swat, whack.  clip, spat. 
chop down	pos: verb To bring down, as with a saw or ax: cut (down), fell, hew. 
chop	pos: verb To decrease, as in length or amount, by or as if by severing or excising: clip, crop, cut, cut back, cut down, lop, lower, pare, prune, shear, slash, trim, truncate. 
chop	pos: verb To turn aside sharply from a straight course: cut, sheer, skew, slue, swerve, veer.  yaw. 
chore	pos: noun 1. A piece of work that has been assigned: assignment, duty, job, office, stint, task. 2. A difficult or tedious undertaking: effort, task.  job. 
chortle	pos: verb To laugh quietly: chuckle. 
chosen	pos: adjective Singled out in preference: choice, elect, exclusive, select. pos: noun One that is selected: choice, elect, pick, select. 
chow	pos: noun  Something fit to be eaten: aliment, bread, comestible, diet, edible, esculent, fare, food, foodstuff, meat, nourishment, nurture, nutriment, nutrition, pabulum, pap, provender, provision (used in plural), sustenance, victual.  eats, grub. pos: verb  To take (food) into the body as nourishment: consume, devour, eat, fare, ingest, partake.  break bread, have ( take) a bite. 
christen	pos: verb To give a name or title to: baptize, call, denominate, designate, dub, entitle, name, style, term, title. 
chronic	pos: adjective 1. Of long duration: continuing, lingering, persistent, prolonged, protracted. 2. Familiar through repetition: accustomed, habitual, routine. 3. Subject to a disease or habit for a long time: confirmed, habitual, habituated, inveterate. 
chronicle	pos: noun 1. A chronological record of past events: annals, history. 2. A recounting of past events: account, description, history, narration, narrative, report, statement, story, version. 
chubby	pos: adjective Well-rounded and full in form: plump, plumpish, pudgy, roly-poly, rotund, round, tubby, zaftig. 
chuck	pos: verb 1.  To let go or get rid of as being useless or defective, for example: discard, dispose of, dump, junk, scrap, throw away, throw out.  jettison, shuck (off).  ditch. 2.  To put out by force: bump, dismiss, eject, evict, expel, oust, throw out.  boot (out), bounce, kick out.  give someone the boot, give someone the heave-ho ( old heave-ho), send packing, show someone the door, throw out on one's ear. 
chuckle	pos: verb To laugh quietly: chortle. 
chuff	pos: noun An unrefined, rude person: barbarian, boor, churl, Philistine, vulgarian, yahoo. 
chum	pos: noun 1. A person whom one knows well, likes, and trusts: amigo, brother, confidant, confidante, familiar, friend, intimate, mate.  bud, buddy, pal.  sidekick. 2. One who shares interests or activities with another: associate, companion, comrade, crony, fellow, mate.  buddy, pal. 
chumminess	pos: noun The condition of being friends: closeness, companionship, comradeship, familiarity, fellowship, friendship, intimacy. 
chummy	pos: adjective Very closely associated: close, familiar, friendly, intimate.  thick.  tight.  hand in glove with. 
chump	pos: noun A mentally dull person: blockhead, clod, dolt, dullard, dummkopf, dummy, dunce, numskull, thickhead.  dimwit, dumbbell, dumbo. 
chump	pos: verb To bite and grind with the teeth: champ, chew, chomp, crump, crunch, masticate, munch.  chaw. 
chunk	pos: noun An irregularly shaped mass of indefinite size: clod, clump, gob, hunch, lump, nugget, wad.  hunk. 
chunky	pos: adjective Short, heavy, and solidly built: blocky, compact, dumpy, heavyset, squat, stocky, stodgy, stubby, stumpy, thick, thickset. 
church	pos: noun Those who accept and practice a particular religious belief: communion, denomination, faith, persuasion, sect. pos: adjective Of or relating to a church or to an established religion: churchly, ecclesiastical, religious, spiritual. 
churchly	pos: adjective Of or relating to a church or to an established religion: church, ecclesiastical, religious, spiritual. 
churchman	pos: noun A person ordained for service in a Christian church: churchwoman, clergyman, clergy-woman, cleric, clerical, clerk, divine, ecclesiastic, minister, parson, preacher.  reverend. 
churchwoman	pos: noun A person ordained for service in a Christian church: churchman, clergyman, clergywoman, cleric, clerical, clerk, divine, ecclesiastic, minister, parson, preacher.  reverend. 
churl	pos: noun An unrefined, rude person: barbarian, boor, chuff, Philistine, vulgarian, yahoo. 
churlish	pos: adjective Lacking in delicacy or refinement: barbarian, barbaric, boorish, coarse, crass, crude, gross, ill-bred, indelicate, philistine, rough, rude, tasteless, uncivilized, uncouth, uncultivated, uncultured, unpolished, unrefined, vulgar. 
churn	pos: verb 1. To cause to move to and fro violently: agitate, convulse, rock, shake. 2. To be in a state of emotional or mental turmoil: boil, bubble, burn, ferment, seethe, simmer, smolder. 
chutzpah	pos: noun  Impudence; arrogant self-confidence: assumption, audaciousness, audacity, boldness, brashness, brazenness, cheek, cheekiness, discourtesy, disrespect, effrontery, face, familiarity, forwardness, gall, impertinence, impudence, impudency, incivility, insolence, nerve, nerviness, overconfidence, pertness, presumptuousness, pushiness, rudeness, sassiness, sauciness.  brass, crust, sauce, uppishness, uppityness. 
cinch	pos: noun 1. An easily accomplished task: child's play, pushover, snap, walkaway, walkover.  breeze.  duck soup. 2. A clearly established fact: certainty, sure thing. pos: verb  To render certain: assure, ensure, guarantee, insure, secure, warrant. 
cincture	pos: verb To encircle with or as if with a band: band, begird, belt, compass, encompass, engirdle, gird, girdle, girt, ring.  engird. 
cinerarium	pos: noun A burial place or receptacle for human remains: catacomb, crypt, grave, mausoleum, ossuary, sepulcher, sepulture, tomb, vault. 
cipher	pos: noun A totally insignificant person: nebbish, nobody, nonentity, nothing.  pipsqueak, zero.  shrimp, zilch. pos: verb To ascertain by mathematics: calculate, cast, compute, figure, reckon. 
circle	pos: noun 1. A closed plane curve everywhere equidistant from a fixed point or something shaped like this: band, circuit, disk, gyre, ring, wheel.  orb. 2. A course, process, or journey that ends where it began or repeats itself: circuit, cycle, orbit, round, tour, turn. 3. A group of people sharing an interest, activity, or achievement: crowd, group, set. 4. A particular social group: clique, coterie, crowd, set.  bunch, gang. 5. A sphere of activity, experience, study, or interest: area, arena, bailiwick, department, domain, field, orbit, province, realm, scene, subject, terrain, territory, world.  bag. pos: verb 1. To shut in on all sides: begird, beset, compass, encircle, encompass, environ, gird, girdle, hedge, hem, ring, surround. 2. To move or cause to move in circles or around an axis: circumvolve, gyrate, orbit, revolve, rotate, turn, wheel. 
circuit	pos: noun 1. A line around a closed figure or area: ambit, circumference, compass, perimeter, periphery. 2. A closed plane curve everywhere equidistant from a fixed point or something shaped like this: band, circle, disk, gyre, ring, wheel.  orb. 3. A course, process, or journey that ends where it began or repeats itself: circle, cycle, orbit, round, tour, turn. 4. Circular movement around a point or about an axis: circulation, circumvolution, gyration, revolution, rotation, turn, wheel, whirl. 5. An area regularly covered, as by a policeman or reporter: beat, round, route. 6. A group of athletic teams that play each other: association, conference, league, loop. 
circuitous	pos: adjective Not taking a direct or straight line or course: anfractuous, circular, devious, indirect, oblique, roundabout, tortuous. 
circular	pos: adjective 1. Having the shape of a curve everywhere equidistant from a fixed point: annular, globoid, globular, round, spheric, spherical. 2. Not taking a direct or straight line or course: anfractuous, circuitous, devious, indirect, oblique, roundabout, tortuous. 
circulate	pos: verb 1. To move freely as a liquid: course, flow, run, stream. 2. To extend over a wide area: diffuse, disperse, disseminate, distribute, radiate, scatter, spread, strew. 3. To become known far and wide: get around, go around, spread, travel.  go ( make) the rounds. 4. To make (information) generally known: advertise, blaze, blazon, broadcast, bruit, disseminate, noise, promulgate, propagate, spread.  spread far and wide, spread the word. 5. To pass (something) out: disperse, disseminate, distribute, hand out. 
circulation	pos: noun 1. Circular movement around a point or about an axis: circuit, circumvolution, gyration, revolution, rotation, turn, wheel, whirl. 2. The passing out or spreading about of something: dispersal, dispersion, dissemination, distribution. 
circumference	pos: noun A line around a closed figure or area: ambit, circuit, compass, perimeter, periphery. 
circumlocutionary	pos: adjective Characterized by repetition and excessive wordiness: roundabout, tautological. 
circumnavigate	pos: verb To pass around but not through: bypass, circumvent, detour, go around, skirt. 
circumscribe	pos: verb To place a limit on: confine, limit, restrict. 
circumscription	pos: noun 1. The act of limiting or condition of being limited: confinement, constraint, limitation, restraint, restriction. 2. Something that limits or restricts: check, constraint, cramp, curb, inhibition, limit, limitation, restraint, restriction, stricture, trammel. 
circumspect	pos: adjective Trying attentively to avoid danger, risk, or error: careful, cautious, chary, forehanded, gingerly, prudent, wary. 
circumspection	pos: noun The exercise of good judgment or common sense in practical matters: caution, discretion, forehandedness, foresight, foresightedness, forethought, forethoughtfulness, precaution, prudence. 
circumstance	pos: noun 1. Existing surroundings that affect an activity. Often used in plural: condition (used in plural), environment.  scene. 2. One of the conditions or facts attending an event and having some bearing on it: detail, fact, factor, particular. 3. Something that happens: event, happening, incident, occasion, occurrence, thing. 4. Something significant that happens: development, episode, event, happening, incident, news, occasion, occurrence, thing. 
circumstantial	pos: adjective Characterized by attention to detail: blow-by-blow, detailed, full, minute, particular, thorough. 
circumvent	pos: verb 1. To pass around but not through: bypass, circumnavigate, detour, go around, skirt. 2. To keep away from: avoid, burke, bypass, dodge, duck, elude, escape, eschew, evade, get around, shun.  fight shy of, give a wide berth to, have no truck with, keep ( stay  steer) clear of. 
circumvention	pos: noun The act, an instance, or a means of avoiding: avoidance, bypass, escape, evasion. 
circumvolution	pos: noun Circular movement around a point or about an axis: circuit, circulation, gyration, revolution, rotation, turn, wheel, whirl. 
circumvolve	pos: verb To move or cause to move in circles or around an axis: circle, gyrate, orbit, revolve, rotate, turn, wheel. 
cite	pos: verb 1. To refer to by name: instance, mention, name, specify. 2. To bring forward for formal consideration: adduce, lay, present.  allege. 
citify	pos: verb To imbue with city ways, manners, and customs: metropolitanize, urbanize. 
citizen	pos: noun A person owing loyalty to and entitled to the protection of a given state: national, subject. 
city	pos: noun A large and important town: metropolis, municipality.  burg, town. pos: adjective Of, in, or belonging to a city: metropolitan, municipal, urban. 
civic	pos: adjective Of, concerning, or affecting the community or the people: civil, national, public. 
civil	pos: adjective 1. Of, concerning, or affecting the community or the people: civic, national, public. 2. Characterized by good manners: courteous, genteel, mannerly, polite, well-bred, well-mannered. 
civility	pos: noun 1. Well-mannered behavior toward others: courteousness, courtesy, genteelness, gentility, mannerliness, politeness, politesse. 2. A courteous act or courteous acts that contribute to smoothness and ease in dealings and social relationships: amenity (used in plural), courtesy, pleasantry, politeness, propriety (used in plural). 
civilization	pos: noun 1. The total product of human creativity and intellect: culture, Kultur. 2. Enlightenment and excellent taste resulting from intellectual development: cultivation, culture, refinement. 
civilize	pos: verb To fit for companionship with others, especially in attitude or manners: acculturate, humanize, socialize. 
civilized	pos: adjective Characterized by discriminating taste and broad knowledge as a result of development or education: cultivated, cultured, educated, polished, refined, urbane, well-bred. 
civilizing	pos: adjective Promoting culture: cultural, edifying, enlightening, humanizing, refining. 
clack	pos: verb 1. To make a light, sharp noise: click, snap. 2. To make or cause to make a succession of short, sharp sounds: brattle, chatter, clatter, rattle. 3. To talk volubly, persistently, and usually inconsequentially: babble, blabber, chatter, chitchat, jabber, palaver, prate, prattle, rattle (on), run on.  go on, spiel.  gab, gas, jaw, yak.  run off at the mouth, shoot the breeze ( bull). pos: noun A light, sharp noise: click, snap. 
clad	pos: verb To furnish with a covering of a different material: cover, face, sheathe, side, skin. 
claim	pos: verb 1. To assert one's right to: demand.  lay claim to. 2. To defend, maintain, or insist on the recognition of (one's rights, for example): assert, vindicate. 3. To put into words positively and with conviction: affirm, allege, argue, assert, asseverate, aver, avouch, avow, contend, declare, hold, maintain, say, state.  have it. 4. To ask for urgently or insistently: call for, demand, exact, insist on ( upon), require, requisition.  cry out for. pos: noun 1. The act of demanding: call, cry, demand, exaction, requisition. 2. A legitimate or supposed right to demand something as one's rightful due: pretense, pretension, title.  dibs. 3. A right or legal share in something: interest, portion, stake, title. 4. The act of asserting positively: affirmation, allegation, assertion, asseveration, averment, declaration, statement. 
claimant	pos: noun 1. One who sets forth a claim to a royal title: claimer, pretender. 2. One that makes a formal complaint, especially in court: accuser, complainant, plaintiff. 
claimer	pos: noun One who sets forth a claim to a royal title: claimant, pretender. 
clamber	pos: verb To move or climb hurriedly, especially on all fours: scramble. 
clamor	pos: noun 1. Sounds or a sound, especially when loud, confused, or disagreeable: babel, din, hubbub, hullabaloo, noise, pandemonium, racket, rumpus, tumult, uproar. 2. Offensively loud and insistent utterances, especially of disapproval: hullabaloo, outcry, rumpus, uproar, vociferation.  hue and cry. 3. A loud, deep, prolonged sound: bawl, bellow, roar. pos: verb To speak or say very loudly or with a shout: bawl, bellow, bluster, call, cry, halloo, holler, roar, shout, vociferate, whoop, yawp, yell. 
clamorous	pos: adjective Offensively loud and insistent: blatant, boisterous, obstreperous, strident, vociferous.  loudmouthed. 
clampdown	pos: noun Sudden punitive action: crackdown, repression, suppression. 
clan	pos: noun A group of people sharing common ancestry: family, house, kindred, lineage, stock, tribe.  flesh and blood, kith and kin. 
clandestine	pos: adjective Existing or operating in a way so as to ensure complete concealment and confidentiality: cloak-and-dagger, covert, huggermugger, secret, subrosa, undercover.  hush-hush.  under wraps. 
clandestinely	pos: adverb In a secret way: covertly, huggermugger, secretly, sub rosa.  by stealth, on the sly, under cover. 
clandestineness	pos: noun The habit, practice, or policy of keeping secrets: clandestinity, concealment, covertness, huggermugger, huggermuggery, secrecy, secretiveness, secretness. 
clandestinity	pos: noun The habit, practice, or policy of keeping secrets: clandestineness, concealment, covertness, huggermugger, huggermuggery, secrecy, secretiveness, secretness. 
clap	pos: verb 1. To express approval, especially by clapping: applaud, cheer, root.  give someone a hand. 2. To make a sudden sharp, explosive noise: bang, bark, crack, pop, snap. 3. To strike, set down, or close in such a way as to make a loud noise: bang, crash, slam, whack. pos: noun A sudden sharp, explosive noise: bang, bark, crack, explosion, pop, rat-a-tat-tat, report, snap. 
claptrap	pos: noun 1. Pretentious, pompous speech or writing: bombast, fustian, grandiloquence, magniloquence, orotundity, rant, turgidity. 2. Something that does not have or make sense: balderdash, blather, bunkum, drivel, garbage, idiocy, nonsense, piffle, poppycock, rigmarole, rubbish, tomfoolery, trash, twaddle.  tommyrot.  applesauce, baloney, bilge, bull, bunk, crap, hooey, malarkey. 
clarification	pos: noun 1. Something that serves to explain or clarify: construction, decipherment, elucidation, exegesis, explanation, explication, exposition, illumination, illustration, interpretation.  enucleation. 2. The act or process of removing physical impurities: purification, refinement. 
clarifier	pos: noun Something that purifies or cleans: cleaner, cleanser, purifier, refiner, refinery. 
clarify	pos: verb 1. To make clear or clearer: clear (up), elucidate, illuminate, illustrate.  shed ( throw) light on ( upon). 2. To make or become clear by the removal of impurities: clean, cleanse, purify, refine. 
clarity	pos: noun 1. The condition of being clean and free of contaminants: cleanliness, cleanness, pureness, purity, taintlessness. 2. The quality of being clear and easy to perceive or understand: clearness, distinctness, limpidity, limpidness, lucidity, lucidness, pellucidity, pellucidness, perspicuity, perspicuousness, plainness. 
clash	pos: verb 1. To strike together with a loud, harsh noise: crash, smash. 2. To fail to be in accord: conflict, contradict, disaccord, discord, jar.  go ( run) counter to. pos: noun 1. A loud striking together: crash, smash. 2. A state of disagreement and disharmony: conflict, confrontation, contention, difference, difficulty, disaccord, discord, discordance, dissension, dissent, dissentience, dissidence, dissonance, faction, friction, inharmony, schism, strife, variance, war, warfare. 3. A discussion, often heated, in which a difference of opinion is expressed: altercation, argument, bicker, contention, controversy, debate, difficulty, disagreement, dispute, fight, polemic, quarrel, run-in, spat, squabble, tiff, word (used in plural), wrangle.  hassle, rhubarb, tangle. 4. A brief, hostile exposure to or contact with something such as danger or opposition: brush, encounter, run-in, skirmish. 
clasp	pos: noun 1. A device for fastening or for checking motion: catch, fastener, hook. 2. The act of embracing: embrace, hug, squeeze.  clinch. 3. An act or means of holding something: clench, clutch, grasp, grip, hold.  grapple. pos: verb 1. To put one's arms around affectionately: embrace, enfold, hold, hug, press, squeeze.  clinch.  bosom, clip, embosom. 2. To take firmly with the hand and maintain a hold on: clench, clutch, grab, grapple, grasp, grip, seize. 
class	pos: noun 1. A subdivision of a larger group: category, classification, order, set. 2. A division of persons or things by quality, rank, or grade: bracket, grade, league, order, rank, tier. 3. Degree of excellence: caliber, grade, quality. 4.  High style in quality, manner, or dress: quality, refinement. pos: verb 1. To distribute into groups according to kinds: assort, categorize, classify, group, pigeonhole, separate, sort (out). 2. To assign to a class or classes: categorize, classify, distribute, grade, group, pigeonhole, place, range, rank, rate. 
classic	pos: adjective 1. Having the nature of, constituting, or serving as a type: archetypal, archetypic, archetypical, classical, model, paradigmatic, prototypal, prototypic, prototypical, quintessential, representative, typic, typical. 2. Characterized by enduring excellence, appeal, and importance: classical, vintage. 
classical	pos: adjective 1. Having the nature of, constituting, or serving as a type: archetypal, archetypic, archetypical, classic, model, paradigmatic, prototypal, prototypic, prototypical, quintessential, representative, typic, typical. 2. Characterized by enduring excellence, appeal, and importance: classic, vintage. 
classification	pos: noun 1. A way or condition of being arranged: arrangement, categorization, deployment, disposal, disposition, distribution, formation, grouping, layout, lineup, order, organization, placement, sequence. 2. A subdivision of a larger group: category, class, order, set. 
classified	pos: adjective Of or being information available only to authorized persons: confidential, privileged, restricted. 
classify	pos: verb 1. To distribute into groups according to kinds: assort, categorize, class, group, pigeonhole, separate, sort (out). 2. To assign to a class or classes: categorize, class, distribute, grade, group, pigeonhole, place, range, rank, rate. 
classy	pos: adjective  Being or in accordance with the current fashion: à la mode, chic, dashing, fashionable, mod, modish, posh, smart, stylish, swank, swanky, trig.  in, sharp, snappy, swish, tony, trendy.  with-it.  all the rage, up to the minute. 
clatter	pos: verb To make or cause to make a succession of short, sharp sounds: brattle, chatter, clack, rattle. 
clean	pos: adjective 1. Free from dirt, stain, or impurities: antiseptic, cleanly, immaculate, spotless, stainless, unsoiled, unsullied. 2. Without imperfections or blemishes, as a line or contour: perfect, regular. 3. Well done or executed: adroit, deft, neat, skillful. 4. Free from evil and corruption: angelic, angelical, innocent, lily-white, pure, sinless, unblemished, uncorrupted, undefined, unstained, unsullied, untainted, virginal.  pure as the driven snow. 5. Not lewd or obscene: decent, modest, wholesome. 6. According to the rules: fair, sporting, sportsmanlike, sportsmanly. 7.  Free from guilt or blame: blameless, faultless, guiltless, harmless, innocent, irreproachable, lily-white, unblamable.  in the clear. pos: adverb  To the fullest extent: absolutely, all, altogether, completely, dead, entirely, flat, fully, just, perfectly, quite, thoroughly, totally, utterly, well, wholly.  clear.  in toto, through and through. pos: verb 1. To make or keep (an area) clean and orderly. Also used with : clear (up), neaten (up), police, spruce (up), straighten (up), tidy (up). 2. To make neat and trim; make presentable. Also used with : freshen (up), groom, neaten (up), slick up, spruce (up), tidy (up), trig (out), trim. 3. To make or become clear by the removal of impurities: clarify, cleanse, purify, refine. 
clean out	pos: verb 1. To remove the contents of: clear, empty (out), evacuate, vacate, void. 2.  To reduce to financial insolvency: bankrupt, break, bust, impoverish, pauperize, ruin. pos: verb 
clean up	pos: verb  To make a large profit: batten, profit.  make a killing. pos: verb 
cleaner	pos: noun Something that purifies or cleans: clarifier, cleanser, purifier, refiner, refinery. 
cleanliness	pos: noun The condition of being clean and free of contaminants: clarity, cleanness, pureness, purity, taintlessness. 
cleanly	pos: adjective Free from dirt, stain, or impurities: antiseptic, clean, immaculate, spotless, stainless, unsoiled, unsullied. pos: adverb In a fair, sporting manner: correctly, fair, fairly, properly. 
cleanness	pos: noun The condition of being clean and free of contaminants: clarity, cleanliness, pureness, purity, taintlessness. 
cleanse	pos: verb 1. To make or become clear by the removal of impurities: clarify, clean, purify, refine. 2. To free from sin, guilt, or defilement: lustrate, purge, purify. 
cleanser	pos: noun Something that purifies or cleans: clarifier, cleaner, purifier, refiner, refinery. 
clear	pos: adjective 1. Free from clouds or mist, for example: cloudless, fair, fine, sunny, unclouded. 2. Free from what obscures or dims: crystal clear, crystalline, limpid, lucid, pellucid, see-through, transparent. 3. Admitting light so that objects beyond can be seen: crystal clear, crystalline, limpid, lucid, pellucid, see-through, translucent, transparent. 4. Free from flaws or blemishes: flawless, unblemished, unmarked. 5. Free from obstructions: free, open, unblocked, unimpeded, unobstructed. 6. Readily seen, perceived, or understood: apparent, clear-cut, crystal clear, distinct, evident, manifest, noticeable, observable, obvious, patent, plain, pronounced, visible. 7. Clearly defined; not ambiguous: distinct, sharp, unambiguous, unequivocal, unmistakable. 8. Easily seen through due to a lack of subtlety: broad, obvious, patent, plain, unmistakable, unsubtle. 9. Without any doubt: clear-cut, decided, definite, distinct, pronounced, unquestionable. 1. Clearly, fully, and sometimes emphatically expressed: categorical, clear-cut, decided, definite, explicit, express, positive, precise, specific, unambiguous, unequivocal. 1. Freed from contact or connection: free. 1. Containing nothing: bare, blank, empty, vacant, vacuous, void. pos: verb 1. To become brighter or fairer. Also used with : brighten, lighten. 2. To make clear or clearer. Also used with : clarify, elucidate, illuminate, illustrate.  shed ( throw) light on ( upon). 3. To rid of obstructions: free, open, unblock. 4. To make or keep (an area) clean and orderly. Also used with : clean (up), neaten (up), police, spruce (up), straighten (up), tidy (up). 5. To free from an entanglement: disengage, disentangle, disinvolve, extricate, untangle. 6. To remove the contents of: clean out, empty (out), evacuate, vacate, void. 7. To free from or cast out something objectionable or undesirable: disburden, disembarrass, disencumber, release, relieve, rid, shake off, throw off, unburden.  shake. 8. To destroy all traces of: abolish, annihilate, blot out, eradicate, erase, exterminate, extinguish, extirpate, kill, liquidate, obliterate, remove, root (out  up), rub out, snuff out, stamp out, uproot, wipe out.  do away with, make an end of, put an end to. 9. To free from a charge or imputation of guilt: absolve, exculpate, exonerate, vindicate.  acquit, purge. 1. To pass by or over safely or successfully: hurdle, negotiate, surmount. 1. To set right by giving what is due: discharge, liquidate, pay (off  up), satisfy, settle, square. 1. To make as income or profit: bring in, draw, earn, gain, gross, net, pay, produce, realize, repay, return, yield. 1. To be accepted or approved: carry, pass.  pher, explain, resolve, solve, unravel.  dope out, figure out.  get to the bottom of. pos: adverb  To the fullest extent: absolutely, all, altogether, completely, dead, entirely, flat, fully, just, perfectly, quite, thoroughly, totally, utterly, well, wholly.  clean.  in toto, through and through. 
clear out	pos: verb 
clear up	pos: verb 
clear-cut	pos: adjective 1. Readily seen, perceived, or understood: apparent, clear, crystal clear, distinct, evident, manifest, noticeable, observable, obvious, patent, plain, pronounced, visible. 2. Without any doubt: clear, decided, definite, distinct, pronounced, unquestionable. 3. Clearly, fully, and sometimes emphatically expressed: categorical, clear, decided, definite, explicit, express, positive, precise, specific, unambiguous, unequivocal. 
clear-sightedness	pos: noun Skill in perceiving, discriminating, or judging: acumen, astuteness, discernment, discrimination, eye, keenness, nose, penetration, perceptiveness, percipience, percipiency, perspicacity, sagacity, sageness, shrewdness, wit. 
clearance	pos: noun The act or process of eliminating: elimination, eradication, liquidation, purge, removal, riddance. 
clearness	pos: noun The quality of being clear and easy to perceive or understand: clarity, distinctness, limpidity, limpidness, lucidity, lucidness, pellucidity, pellucidness, perspicuity, perspicuousness, plainness. 
cleavage	pos: noun A usually narrow partial opening caused by splitting and rupture: break, chink, cleft, crack, crevice, fissure, rift, split. 
cleave	pos: verb To separate into parts with or as if with a sharp-edged instrument: carve, cut, dissever, sever, slice, slit, split. 
cleave	pos: verb To hold fast: adhere, bond, cling, cohere, stick. 
cleft	pos: noun A usually narrow partial opening caused by splitting and rupture: break, chink, cleavage, crack, crevice, fissure, rift, split. 
clemency	pos: noun Kind, forgiving, or compassionate treatment of or disposition toward others: charity, grace, lenience, leniency, lenity, mercifulness, mercy. 
clement	pos: adjective Not strict or severe: charitable, easy, forbearing, indulgent, lax, lenient, merciful, soft, tolerant. 
clench	pos: verb To take firmly with the hand and maintain a hold on: clasp, clutch, grab, grapple, grasp, grip, seize. pos: noun An act or means of holding something: clasp, clutch, grasp, grip, hold.  grapple. 
clergyman	pos: noun A person ordained for service in a Christian church: churchman, churchwoman, clergy-woman, cleric, clerical, clerk, divine, ecclesiastic, minister, parson, preacher.  reverend. 
clergywoman	pos: noun A person ordained for service in a Christian church: churchman, churchwoman, clergyman, cleric, clerical, clerk, divine, ecclesiastic, minister, parson, preacher.  reverend. 
cleric	pos: noun A person ordained for service in a Christian church: churchman, churchwoman, clergyman, clergywoman, clerical, clerk, divine, ecclesiastic, minister, parson, preacher.  reverend. 
clerical	pos: noun A person ordained for service in a Christian church: churchman, churchwoman, clergyman, clergywoman, cleric, clerk, divine, ecclesiastic, minister, parson, preacher.  reverend. 
clerk	pos: noun 1. One who sells: salesclerk, salesgirl, salesman, salesperson, saleswoman, seller, vender. 2. A person ordained for service in a Christian church: churchman, churchwoman, clergyman, clergywoman, cleric, clerical, divine, ecclesiastic, minister, parson, preacher.  reverend. 
clever	pos: adjective 1. Mentally quick and original: alert, bright, intelligent, keen, quick, quick-witted, sharp, sharp-witted, smart.  smart as a whip. 2. Exhibiting or possessing skill and ease in performance: adroit, deft, dexterous, facile, handy, nimble, slick. 3. Amusing or pleasing because of wit or originality: scintillating, smart, sparkling, witty. 
cliché	pos: noun A trite expression or idea: banality, bromide, commonplace, platitude, stereotype, truism. 
clichéd	pos: adjective Without freshness or appeal because of overuse: banal, bromidic, commonplace, corny, hackneyed, musty, overused, overworked, platitudinal, platitudinous, shopworn, stale, stereotyped, stereotypic, stereotypical, threadbare, timeworn, tired, trite, warmed-over, well-worn, worn-out. 
click	pos: noun A light, sharp noise: clack, snap. pos: verb 1. To make a light, sharp noise: clack, snap. 2.  To turn out well: come off, go, go over, pan out, succeed, work, work out. 3.  To interact with another or others in a meaningful fashion: communicate, connect, relate.  be on the same wavelength, hit it off. 
client	pos: noun One who buys goods or services: buyer, customer, patron, purchaser. 
clientele	pos: noun Customers or patrons collectively: patronage. 
climacteric	pos: noun A decisive point: crisis, crossroad (used in plural), exigence, exigency, head, juncture, pass, turning point, zero hour. pos: adjective So serious as to be at the point of crisis or necessary to resolve a crisis: acute, critical, crucial, desperate, dire. 
climactic	pos: adjective Of or constituting a climax: crowning, culminating, peak. 
climate	pos: noun 1. The totality of surrounding conditions and circumstances affecting growth or development: ambiance, atmosphere, environment, medium, milieu, mise en scene, surroundings, world. 2. A prevailing quality, as of thought, behavior, or attitude: mood, spirit, temper, tone. 
climax	pos: noun The highest point or state: acme, apex, apogee, crest, crown, culmination, height, meridian, peak, pinnacle, summit, top, zenith.  payoff.  fastigium. pos: verb To reach or bring to a climax: cap, crest, crown, culminate, peak, top (off  out). 
climb	pos: verb 1. To move upward on or along: ascend, go up, mount, scale. 2. To move from a lower to a higher position: arise, ascend, lift, mount, rise, soar. 3. To attain a higher status, rank, or condition: advance, ascend, mount, rise.  go up the ladder. pos: noun The act of moving upward on or along: ascension, ascent. 
clinch	pos: verb  To put one's arms around affectionately: clasp, embrace, enfold, hold, hug, press, squeeze.  bosom, clip, embosom. pos: noun  The act of embracing: clasp, embrace, hug, squeeze. 
clincher	pos: noun  Something, especially something held in reserve, that gives one a decisive advantage: trump, trump card.  ace in the hole. 
cling	pos: verb To hold fast: adhere, bond, cleave, cohere, stick. 
clinging	pos: adjective Persistently holding to something: fast, firm, secure, tenacious, tight. 
clink	pos: noun  A place for the confinement of persons in lawful detention: brig, house of correction, jail, keep, penitentiary, prison.  lockup, pen.  big house, can, cooler, coop, hoosegow, joint, jug, pokey, slammer, stir.  calaboose. 
